SEQ,KEY_1,QCL_3,SQ1,SQ2,SQ2_X,SQ2_R,SQ3,SQ4,SQ5,SQ6,SQ6_R,SQ7_1,SQ7_2,SQ7_3,SQ7_4,SQ7_5,SQ7_6,SQ7_7,SQ7_8,SQ7_9,SQ7_10,SQ7_11,SQ7_12,SQ7_12_ETC_1,SQ8_1,SQ8_2,SQ8_3,SQ8_4,SQ8_5,SQ8_6,SQ8_7,SQ8_8,SQ8_9,SQ8_10,SQ8_12,SQ8_13,SQ8_12_ETC_1,A1,A2,A2_1_1,A2_1_2,A2_1_3,A2_1_4,A2_1_5,A2_1_6,A2_1_7,A2_1_8,A2_1_9,A2_1_9_ETC_1,A3,A4_1,A4_2,A4_3,A4_4,A4_5,A4_6,A4_7,A4_8,A4_8_ETC_1,A5,A6,A7,A8,A9,A9_1,A10,A11,A12_1_1,A12_1_2,A12_1_3,A12_1_4,A12_2_1,A12_2_2,A12_2_3,A12_2_4,A12_3_1,A12_3_2,A12_3_3,A12_3_4,A12_4_1,A12_4_2,A12_4_3,A12_4_4,A13_1,A13_2,A13_3,A13_4,A14,A15,A15_1,A16_1,A16_2,A16_3,A16_4,A16_5,A16_6,A16_7,A16_8,A16_9,A16_10,A16_11,A16_11_ETC_1,A17,A17_1_1,A17_1_2,A17_1_3,A17_1_4,A17_1_5,A17_1_5_ETC_1,A18_1,A18_2,A18_3,A18_4,A19_1,A19_2,A19_3,A19_4,A19_5,A19_6,A20_1,A20_2,A20_3,A20_4,A20_5,A20_6,A20_7,A20_8,B1_1,B1_2,B1_3,B1_4,B1_5,B2,B2_R,B3,B4,B5_1,B5_2,B5_3,B5_8_ETC_1,B6_1,B6_2,B6_3,B6_4,B6_5,B6_6,B6_5_ETC_1,B7,B7_7_ETC_1,B8,B9_1,B9_2,B9_3,B9_4,B10,B11,B11_1,B12_1,B12_2,B12_3,B12_4,B12_5,B12_6,B12_7,B12_8,B12_9,RB12_1,RB12_2,RB12_3,RB12_4,RB12_5,RB12_6,RB12_7,RB12_8,RB12_9,RB12,C1,C1_1,C2,C2_7_ETC_1,C3,C4_1,C4_2,C4_3,C4_4,C4_5,C4_6,C4_7,C4_8,C4_9,C4_9_ETC_1,C5x1,C5x2,C5x3,C5x4,C5x5,C5x6,C5x7,C5x8,C5x9,C6x1,C6x2,C6x3,C6x4,C6x5,C6x6,C6x7,C6x8,C6x9,C7x1,C7x2,C7x3,C7x4,C7x5,C7x6,C7x7,C7x8,C7x9,C8,C8_1,C8_1_11_ETC_1,C8_2,C8_3,C8_4_1,C8_4_2,C8_4_3,C8_4_4,C8_4_5,C8_4_6,C8_4_7,C8_4_8,C8_4_8_ETC_1,C8_5,C8_6_1,C8_6_2,C8_6_3,C8_6_4,C8_6_5,C8_6_6,C8_6_7,C8_6_8,C8_6_8_ETC_1,C9,DQ1,DQ2,DQ2_9_ETC_1,DQ3,DQ5,DQ5_7_ETC_1,DQ5_1,DQ6
254,2,,2,27,2,2,1,6,2,3,3,,2,,,,6,,,,,,,,,,,,,,,,,,,13,,1,,,,,,,,,,,,,1,,,,,,,,,3,3,1,,1,25,7,5,1,2,3,,1,2,,,,,,4,1,2,,,6,2,4,5,,1,26,,,,,,,,,,,,,1,,2,,,,,3,3,3,3,2,2,2,2,2,1,1,2,1,2,2,2,2,2,4,3,2,4,4,6,2,4,3,2,1,6,,1,,3,4,,,,3,,1,5,5,5,1,4,2,,1,2,1,1,1,1,2,1,1,0,1,0,0,0,0,1,0,0,2,,1,2,,,,,,4,5,,,8,,,,,,1,3,,,1,,,,,3,1,,,1,,,,,3,4,,,3,,2,,,,,,,,,,,,,,2,1,2,,4,,,7,,,진정성잇는 심리상담과 프로그램... 실용성이 없어보이는데... ㅠ. 저도 딱히 방안을 내 놓지는 못하겠습니다.,9,1,,2,5,,2,2
255,2,,2,31,3,3,1,5,1,3,3,,,,,5,,,8,,,,,,,,,,,,,,,,,13,,1,,,,,,,,,,,,,1,,,,,6,,,,3,2,1,,1,25,3,3,1,,,,1,,,,,2,,,,2,,,3,4,3,3,,1,22,,,,,,,,,,,,,1,1,2,3,4,,,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,4,4,3,9,3,2,2,2,4,5,,,,3,4,,,,2,,2,3,2,2,3,3,1,2,2,2,3,3,3,2,2,2,2,1,1,2,2,2,1,1,1,1,12,,1,3,,,,2,3,,5,,,,,,,2,2,,2,,,,,,2,1,,2,,,,,,2,1,,2,,,,,1,6,,1,4,,,,,,,,,,,,,,,,,,,,,9,1,,1,4,,1,2
257,2,,2,39,4,3,1,1,2,1,1,,,,,,,,,,,,,,1,2,,,,6,,,,,,,,2,,,,,,,,,,,,,1,,,,,,,,,4,4,4,,1,27,20,8,1,2,,,1,2,,,1,2,,,,2,3,,3,2,4,5,,2,,,,,,,,,,,,,,1,,,3,4,,,3,2,1,2,2,1,1,1,1,1,1,2,1,1,2,2,1,1,4,3,4,2,2,7,2,4,3,1,2,7,,1,,3,4,5,,쇼핑,3,,1,5,4,5,3,5,2,,1,1,2,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,,1,7,운동,,,2,,4,5,,,,,,,3,,3,3,,,,,,1,,3,3,,,,,,4,,5,4,,,,,1,7,,3,,,,,,,,,,,2,1,,3,,,,,,,"현실에서 좌절을 겪고 희망이 없다고 생각하는 경우가 많기 때문에, 희망을 줄 수 있는 계기를 주는 것이 필요하다고 생각합니다.
말뿐인 조언보다는 스스로를 달라지게 할 수 있는 자기개발, 기술교육, 연수교육 등의 기회를 주었으면 합니다. 그리고, 제가 이전에 좌절을 겪었을 때, 봉사활동을 하면서 현실을 받아들이는 방법을 달리한 경험이 있습니다. 고립적인 생활을 하는 사람의 입장에서 자신이 무가치하고 무의미한 존재처럼 느껴지지만, 가벼운 방법으로라도 '내가 남을 도울 수 있는 존재'이고 작게 나마 '세상을 더 좋아지게 하는데에 역할을 하는 존재'라고 생각할 수 있는 시간을 주는 것이 좋다고 생각합니다. 이에 봉사활동이나 주기적인 헌혈 등에 대한 참여를 유도하는 것도 괜찮지 않을까요.",11,2,,2,4,,,1
258,2,,2,32,3,3,1,11,1,3,3,1,2,,,,,,,,,,,,,,,,,6,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,3,3,2,,2,,3,2,1,2,,,1,,,,1,,,,1,2,,,5,1,3,3,,1,28,,,,,,,,,,,,,2,,,,,,,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,3,3,3,8,3,4,3,2,6,1,,,,,,,6,,2,,1,5,5,4,4,3,2,,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,,2,,,,,,,,5,6,,,,,,,,,3,3,,,,,,,,3,3,,,,,,,,1,1,,,,2,,,,,,,,,,,,,,2,,,,4,5,,7,,,,9,1,,2,4,,1,1
259,2,,2,37,4,3,1,15,2,3,3,,,,,5,,,8,,,,,,,,,,,,,,,,,13,,1,,,,,,,,,,,,,1,,,,,6,,,,3,3,1,,2,,10,6,1,2,,,1,,,,1,,,,1,2,,,4,3,4,4,,2,,,,,,,,,,,,,,1,,2,,,,,3,3,2,1,2,2,1,2,1,2,1,2,2,2,2,2,1,1,3,3,2,3,4,6,2,2,2,2,1,6,,1,,3,4,,,,3,,4,5,5,5,4,3,2,,2,1,1,2,1,2,2,1,2,1,0,0,1,0,1,1,0,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,,1,4,,2,1
260,2,,2,26,2,2,1,11,2,1,1,,,,,,,,,,,,,,1,2,3,4,,6,,,,,,,,3,3,2,1,2,2,2,2,2,2,,,1,1,,,,,,,,,3,3,3,,2,,8,6,1,,,,1,,,,1,,,,1,,,,5,2,5,4,,2,,,,,,,,,,,,,,2,,,,,,,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,2,4,4,7,2,2,2,7,1,4,,1,2,3,4,,,,3,,1,5,5,5,4,4,2,,1,2,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,10,,2,3,,,3
261,2,,2,27,2,2,1,14,1,3,3,1,2,,,,,,,,,,,,,,,,,6,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,3,3,1,,1,24,10,15,1,2,,,1,2,,,1,2,,,1,2,,,6,2,5,1,,1,24,,,,,,,,,,,,,1,,,3,4,,,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,5,5,1,4,4,6,2,3,2,1,6,4,,1,2,3,4,,,,2,,4,5,5,5,5,4,2,,1,1,2,1,1,2,1,1,1,0,0,1,0,0,1,0,0,0,2,,1,2,,,,,,4,,6,7,8,,,,,,1,,1,1,1,,,,,1,,1,2,1,,,,,2,,2,3,3,,1,7,,3,,,,,,,,,,,2,1,,,,,,,,,지금 서베이에 참여하고 더 많은 헤이폴 포인트를 쌓아보세요.,9,1,,2,4,,1,3
262,2,,2,27,2,2,1,9,2,1,1,,,,,,,,,,,,,,1,2,,,,6,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,3,3,1,,2,,6,2,1,2,3,,1,2,3,,1,,,,1,2,3,,4,2,4,4,,2,,,,,,,,,,,,,,2,,,,,,,2,1,3,3,1,1,1,1,1,2,1,1,1,2,2,2,2,2,3,4,1,5,4,6,2,2,1,6,1,5,,,,3,4,,,,2,,1,5,5,5,4,3,2,,2,3,2,1,1,3,3,2,1,1,2,1,0,0,2,2,1,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,,2,2,,,2
263,2,,2,34,3,3,1,19,1,2,2,,,,,5,,,,,,,,,1,2,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,3,2,1,,2,,5,5,1,,,,,,3,,,2,,,1,,,,6,5,5,4,,1,20,,,,,,,,,,,,,2,,,,,,,1,2,2,3,1,1,2,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,8,3,1,1,1,3,6,,,2,3,4,,,,2,,1,5,5,5,5,5,2,,1,1,1,1,2,2,2,2,2,0,0,0,0,1,1,1,1,1,5,,2,,,,1,2,3,,,,,,,,1,3,3,,,,,,,2,3,3,,,,,,,4,5,5,,,,,,,2,,,,,,,,,,,,,,2,1,2,3,,,,,,,,9,1,,1,3,,,1
264,2,,2,27,2,2,1,20,1,6,5,1,2,,,5,,,8,,,,,,,,,,,,,,,,,13,,1,,,,,,,,,,,,,1,,,,,6,,,,3,4,1,,2,,8,12,1,,,,,2,,,1,,,,1,,,,6,5,5,5,,2,,,,,,,,,,,,,,2,,,,,,,3,3,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,4,5,5,8,3,2,2,2,3,1,,1,2,3,4,,,,2,,4,5,4,5,5,5,2,,2,1,2,2,2,1,2,1,1,1,0,1,1,1,0,1,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,,1,4,,2,2
265,1,2,2,29,2,2,1,18,3,3,3,,2,,,,6,,,,,,,,1,,3,4,,,,,,,,,,3,3,1,2,2,2,2,2,1,1,,,4,1,2,,,,,,,,1,1,6,4,1,26,3,1,1,2,,,1,,,,,,,4,1,2,,,6,2,2,1,5,2,,,,3,,,,7,,9,,,,1,,2,,,,,3,3,3,4,2,2,2,1,2,2,1,1,2,2,2,2,1,2,4,4,1,5,4,8,3,3,3,1,2,3,,,2,3,4,,,,3,,4,4,4,5,5,2,2,,2,3,1,4,1,4,3,3,1,1,2,0,3,0,3,2,2,0,13,1,2,,,,1,2,3,4,,6,,8,,,1,1,3,3,,1,,1,,1,1,1,3,,3,,3,,5,3,3,5,,3,,3,,2,,,,,,,,,,,,,,1,,,,,,,,,,,7,10,,2,3,,1,3
266,2,,1,39,4,3,1,12,2,3,3,,,,,5,,,8,,,,,,,2,,,,6,7,,,10,,,,1,,,,,,,,,,,,,1,,,,,6,,,,3,3,1,,2,,5,3,1,2,,,1,2,,,1,,,,1,2,,,6,5,5,4,,2,,,,,,,,,,,,,,1,,2,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,6,2,2,3,7,1,2,,1,,,,,,,2,,4,5,5,5,5,5,2,,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,1,,1,4,,1,1
267,2,,2,26,2,2,1,1,1,3,3,,,,,5,,,8,,,,,,,,,,,,,,,,,13,,1,,,,,,,,,,,,,1,,,,,6,,,,5,4,6,3,1,,5,16,1,2,,,1,2,,,1,2,,,1,2,,,6,5,6,5,,1,,,,3,4,5,6,,,,,,,1,,2,3,4,,,4,3,4,4,2,2,2,2,1,2,2,1,2,1,2,1,2,1,5,4,5,4,5,9,3,3,4,2,4,6,,1,,3,4,,,,1,,1,5,4,5,4,5,1,5,4,3,4,3,4,3,4,3,4,3,2,3,2,3,2,3,2,3,23,1,1,2,,4,,2,,4,,6,,,,,,1,,3,,2,,,,,2,,2,,2,,,,,5,,5,,5,,,,1,7,,1,5,,,,,,,,,,,,,,,,,,,,월세 지원 정책 지원이 있었으면 한다,6,3,,1,1,,1,1
268,2,,1,32,3,2,1,18,3,3,3,1,2,,,,,,,,,,,,,,,,,,,,,,,13,,1,,,,,,,,,,,,,1,,,,,,,,,4,3,1,,2,,20,14,1,2,,,1,2,,,1,,,,1,2,,,6,2,6,6,,2,,,,,,,,,,,,,,1,1,,3,,,,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,5,5,2,3,4,6,2,3,3,1,4,5,,1,2,,4,,,,3,,4,5,5,5,5,4,2,,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,1,,2,4,,1,1
269,2,,1,35,4,3,1,1,1,3,3,,,,,5,,,8,,,,,,1,2,,,,,7,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,3,3,1,,2,,4,2,,2,,,1,,,,,,3,,,2,,,4,3,4,4,,1,20,,,,,,,,,,,,,1,,2,,,,,3,2,2,3,1,2,2,1,1,2,1,1,2,1,2,1,2,2,3,3,4,4,4,7,2,2,3,2,4,7,,,,3,,,,,2,,2,3,3,3,2,3,2,,2,1,1,2,1,1,2,3,1,1,0,0,1,0,0,1,2,0,5,,2,,,,,,,,5,,,,,,,,,,2,,,,,,,,,2,,,,,,,,,2,,,,,2,,,,,,,,,,,,,,2,,,3,,5,,,,,정신과 비용 지급,12,1,,1,4,,2,3
270,2,,2,24,1,2,1,25,1,3,3,1,2,,,,,,,,,,,,,,,,,6,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,3,3,1,,1,24,7,10,1,2,3,,,2,3,,1,,,,,2,,,5,2,4,5,,2,,,,,,,,,,,,,,1,,2,3,,,,3,3,3,2,1,1,1,1,1,1,1,1,1,1,2,1,2,2,3,2,2,5,2,7,2,2,2,2,4,7,,1,2,3,4,,,,2,,3,5,5,5,5,4,2,,2,2,2,3,1,3,2,1,1,1,1,1,2,0,2,1,0,0,8,,1,2,,,,,,4,5,,,8,,,,,,3,1,,,2,,,,,1,1,,,3,,,,,2,3,,,3,,1,2,,3,,,,,,,,,,,2,,2,,,,,,,,"줌 수업, 고립청년은 밖에 나갈 생각을 안함.",9,1,,2,4,,1,1
271,2,,2,31,3,2,1,1,1,4,4,,,,,5,,,8,,,,,,1,2,,,,6,,,,,,,,1,,,,,,,,,,,,,1,,,,,6,,,,3,3,1,,2,,10,10,1,2,3,,1,2,3,,1,2,,,1,2,,,6,6,6,5,,2,,,,,,,,,,,,,,1,1,2,3,4,,,3,2,2,3,2,2,1,1,2,2,1,2,1,2,2,1,1,2,4,4,4,3,3,6,2,3,3,1,4,6,,1,,3,,,,,2,,1,4,3,3,4,4,2,,1,1,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,,1,4,,1,1
272,2,,2,33,3,3,1,1,1,4,4,,,,,5,,,8,,,,,,1,2,3,4,,6,7,,,10,,,,1,,,,,,,,,,,,,1,2,,4,,6,,,,2,1,1,,1,25,10,8,1,2,3,,1,2,,,1,2,,,,2,,,4,2,5,6,,1,22,,,,,,,,,,,,,1,,2,,4,,,3,3,3,3,2,1,2,1,2,1,1,2,2,1,2,2,1,2,3,2,3,4,4,7,2,4,3,1,3,6,,,2,3,4,,,,4,,4,5,5,5,4,2,1,3,3,3,1,1,2,4,4,1,4,2,2,0,0,1,3,3,0,3,14,,2,,,,1,,,4,,,,8,,,1,,,3,,,,2,,1,,,3,,,,2,,5,,,4,,,,5,,2,,,,,,,,,,,,,,2,1,2,,,,,7,,,,9,1,,2,4,,1,1
273,2,,1,34,3,3,1,17,1,3,3,1,2,,,,,,,,,,,,,,,,,6,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,2,1,1,,2,,6,8,1,2,,,1,,,,1,,,,1,2,,,6,2,5,5,,2,,,,,,,,,,,,,,2,,,,,,,3,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,4,5,4,7,2,3,4,1,2,6,,,,3,4,,,,3,,4,5,5,5,4,4,2,,1,2,1,1,1,2,1,1,1,0,1,0,0,0,1,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,,2,4,,1,1
274,2,,1,34,3,3,1,9,1,3,3,1,,,,,6,,,,,,,,,,,,,,,,,,,13,,1,,,,,,,,,,,,,1,,,,,,,,,3,3,2,,1,25,20,5,,2,,,1,,,,,,,4,,2,,,6,2,4,6,,2,,,,,,,,,,,,,,1,1,,,,,,2,2,2,2,2,2,1,2,1,1,2,1,1,1,2,1,1,1,3,3,3,3,2,5,2,3,2,3,1,2,,,2,3,4,,,,3,,4,5,5,5,3,3,2,,1,1,2,1,1,2,1,1,1,0,0,1,0,0,1,0,0,0,2,,2,,,,,,,,,,,8,,,,,,,,,,3,,,,,,,,,3,,,,,,,,,1,,2,,,,,,,,,,,,,,2,,,,,5,,7,,,취업연계형 사업으로 변경 (돈이 있어야 뭘하지),9,1,,2,4,,1,1
276,2,,1,38,4,3,1,11,1,4,4,,,,,5,,,8,,,,,,,,,,,,,,,,,13,,1,,,,,,,,,,,,,1,,,,,,,,,5,5,1,,1,20,0,1,1,,3,,,2,,,,2,,,1,2,3,,4,4,6,3,,1,10,,,,,,,,,,,,,2,,,,,,,3,4,4,3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,4,5,2,2,4,3,1,1,1,6,2,7,,,,3,,,,,4,,1,1,2,2,1,4,1,5,4,3,4,4,3,3,4,4,4,3,2,3,3,2,2,3,3,3,24,,1,4,,,,,,,,,,,9,여자,,,,,,,,,2,,,,,,,,,1,,,,,,,,,3,1,5,,3,,,,,,,,,,,1,,,,,,,,,,,9,1,,1,4,,1,1
277,2,,2,32,3,3,1,14,2,3,3,,,,,5,,,8,,,,,,,,,,,,,,,,,13,,1,,,,,,,,,,,,,1,,,,,6,,,,3,2,1,,2,,20,50,1,2,3,,1,2,3,,1,2,3,,1,2,3,,6,4,4,4,,1,12,,,,,,,,,,,,,1,,2,3,4,,,2,2,2,2,1,1,1,2,1,1,1,1,2,2,2,2,1,1,5,5,2,4,3,6,2,3,3,4,5,2,,1,,3,4,,,,3,,1,5,5,5,5,3,2,,1,2,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,,2,,,,,2,,4,5,,,8,,,,3,,3,3,,,3,,,1,,1,1,,,3,,,4,,5,5,,,5,,2,,,,,,,,,,,,,,2,1,,,,,,,,,지속적인 지원 및 사후관리가 중요하다,9,1,,1,4,,1,1
278,2,,2,35,4,3,1,18,1,5,5,1,2,,,,6,,,,,,,,,,,,,,,,,,,13,,1,,,,,,,,,,,,,1,,,,,,,,,3,3,1,,1,25,2,2,1,,,,1,,,,1,,,,,2,,,5,2,4,5,,1,25,,,,,,,,,,,,,2,,,,,,,3,3,2,3,1,1,1,1,2,1,1,1,1,1,1,1,1,2,3,3,4,4,3,6,2,4,2,3,2,6,,1,,3,,,,,3,,1,5,5,5,4,4,2,,2,1,2,1,1,2,1,1,1,1,0,1,0,0,1,0,0,0,3,,2,,,,,,,,,,,8,,,,,,,,,,3,,,,,,,,,1,,,,,,,,,5,,2,,,,,,,,,,,,,,2,,,,,5,,,,,,9,1,,2,4,,1,1
279,2,,2,26,2,2,1,1,1,4,4,,,,,5,,,8,,,,,,,,,,,,,,,,,13,,1,,,,,,,,,,,,,1,,,,,6,7,,,3,2,1,,2,,10,10,1,2,3,,,2,3,,1,2,,,1,2,,,6,4,3,4,,2,,,,,,,,,,,,,,2,,,,,,,3,2,3,3,1,1,2,2,2,1,1,2,1,2,1,2,1,1,3,4,3,4,5,8,3,4,4,2,3,5,,1,2,3,4,,,,2,,3,5,5,5,4,4,2,,2,3,2,3,2,3,3,2,3,1,2,1,2,1,2,2,1,2,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,,1,4,,1,1
280,2,,2,39,4,3,1,14,3,3,3,,,,,5,,,8,,,,,,1,2,,4,,6,7,,9,,,,,1,,,,,,,,,,,,,1,,,,,,,,,3,2,1,,2,,300,100,1,2,3,,,2,,,,,3,,,2,,,5,3,4,4,,2,,,,,,,,,,,,,,2,,,,,,,3,3,3,2,2,1,2,2,2,2,1,1,1,2,2,2,2,2,4,3,4,4,3,8,3,3,3,1,6,8,업무,,,,,,6,,2,,4,5,5,5,2,3,2,,2,1,2,3,2,3,3,2,2,1,0,1,2,1,2,2,1,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,1,,1,4,,2,2
281,2,,1,38,4,3,1,5,2,1,1,,,,,,,,,,,,,,1,2,,,,6,,,,,,,,2,,,,,,,,,,,,,1,,,,,,,,,3,1,4,,1,26,1,7,1,2,3,,1,2,,,1,2,,,1,2,,,4,4,4,1,,1,26,,,,,,,,,,,,,2,,,,,,,3,3,4,3,2,2,2,2,1,1,1,1,2,2,2,2,2,2,4,4,2,2,1,6,2,4,2,5,4,6,,,,3,4,,,,3,,1,5,5,5,5,2,2,,2,2,3,2,2,2,3,2,2,1,1,2,1,1,1,2,1,1,11,,1,1,,,,,,,5,,,,,,,,,,3,,,,,,,,,1,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,2,,,,4,,,,,,,9,10,,2,6,,,3
282,2,,2,30,3,3,1,1,1,4,4,,,,,5,,,8,,,,,,1,2,,,,6,,,,10,,,,1,,,,,,,,,,,,,1,2,,,,6,,,,4,3,1,,1,30,10,10,,2,,,1,,,,1,,,,1,,,,5,5,5,5,,2,,,,,,,,,,,,,,2,,,,,,,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,7,2,3,3,2,5,7,,,,3,,,,,3,,3,2,3,3,4,4,2,,2,3,3,2,1,1,1,1,1,1,2,2,1,0,0,0,0,0,6,,2,,,,1,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,4,,,,,,,,,2,,,,,,,,,,,,,,2,,,,4,,,,,,,9,1,,1,4,,2,1
283,2,,1,28,2,2,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,13,,2,,,,,,,,,,,,,,,,,,6,,,,3,3,3,,2,,1,1,1,,,,,2,,,,2,,,1,,,,2,3,4,3,,2,,,,,,,,,,,,,,2,,,,,,,2,3,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,3,4,8,3,2,2,1,3,5,,,,3,,,,,6,,2,2,3,2,3,3,2,,2,1,2,2,1,2,1,2,1,1,0,1,1,0,1,0,1,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5,,2,3,,,1
284,2,,2,30,3,3,1,16,2,2,2,,,,,,6,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,4,3,1,,1,30,3,4,1,2,,,1,2,,,1,,,,1,2,,,6,4,4,4,,2,,,,,,,,,,,,,,2,,,,,,,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,5,4,3,3,5,6,2,3,3,2,4,5,,,,3,4,,,,4,,2,5,5,5,3,4,2,,1,1,1,2,1,2,1,1,1,0,0,0,1,0,1,0,0,0,2,,1,7,운동,,,,,4,5,,,,,,,,,3,3,,,,,,,,3,3,,,,,,,,5,5,,,,,1,2,,3,,,,,,,,,,,2,1,,,,,,,,,,9,7,,2,3,,,3
285,2,,1,36,4,3,1,1,2,3,3,1,2,,,,,,,,,,,,,,,,,6,7,,,10,,,,1,,,,,,,,,,,,,1,,,,5,,,,,3,2,1,,2,,3,14,1,2,,,1,2,,,1,2,,,1,2,,,6,2,4,5,,2,,,,,,,,,,,,,,1,,,3,,,,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,4,3,3,3,3,7,2,3,3,1,4,6,,1,2,3,4,,,,3,,4,5,5,5,3,3,2,,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,,2,4,,1,1
286,2,,1,24,1,2,1,12,1,4,4,1,2,,,,6,,,,,,,,,,,,,,,,,,,13,,1,,,,,,,,,,,,,1,,,,,6,,,,3,2,2,,1,22,5,1,1,2,,,1,2,,,1,2,,,1,2,,,6,4,4,2,,1,20,,,,,,,,,,,,,1,,,,4,,,3,3,3,2,1,1,1,1,2,1,2,2,2,1,2,2,2,2,3,3,3,4,4,7,2,4,3,1,3,6,,1,2,3,4,,,,2,,4,5,5,5,2,4,2,,2,2,2,1,1,2,2,2,1,1,1,1,0,0,1,1,1,0,6,,1,2,,,,2,3,4,,6,7,8,,,,3,3,3,,3,3,3,,,3,3,3,,3,3,3,,,4,4,4,,4,4,5,,2,,,,,,,,,,,,,,2,1,,3,4,,6,,,,콘서트나 연극 관람 기회주기,8,8,,2,4,,1,1
287,2,,2,29,2,2,1,23,1,3,3,,,,,5,,,8,,,,,,,,,,,,,,,,,13,,1,,,,,,,,,,,,,1,,,,,6,7,,,3,2,2,,2,,3,7,1,,,,1,2,,,1,2,,,1,2,3,,5,3,3,3,,2,,,,,,,,,,,,,,2,,,,,,,2,3,3,2,1,1,2,2,1,1,1,2,1,1,1,1,2,2,3,3,2,2,3,5,2,3,3,3,5,7,,1,2,3,4,,,,4,,4,5,4,4,3,4,2,,3,3,2,3,2,3,2,3,3,2,2,1,2,1,2,1,2,2,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,,1,4,,2,1
